address_id,street,city,state,postal_code,country
ADDR001,123 Main Street,New York,NY,10001,USA
ADDR002,456 Tech Boulevard,San Francisco,CA,94102,USA
ADDR003,789 Commerce Drive,Chicago,IL,60601,USA
ADDR004,321 Innovation Way,Austin,TX,78701,USA
ADDR005,654 Logistics Lane,Seattle,WA,98101,USA
ADDR006,987 Digital Avenue,Boston,MA,02101,USA
ADDR007,147 Supply Road,Denver,CO,80201,USA
ADDR008,258 Coastal Highway,Miami,FL,33101,USA
ADDR009,369 Summit Street,Portland,OR,97201,USA
ADDR010,741 Vertex Plaza,Atlanta,GA,30301,USA
